mqtt.js:5 s1: {"acc_x":-5.901707172,"acc_y":0.81642276,"acc_z":9.284713745,"rot_x":0.956866801,"rot_y":-1.038137794,"rot_z":0.136695251}
mqtt.js:5 s1: {"acc_x":-5.252878666,"acc_y":4.220977783,"acc_z":6.641515732,"rot_x":0.734370589,"rot_y":0.434067398,"rot_z":-0.504679918}
mqtt.js:5 s1: {"acc_x":-5.997475147,"acc_y":1.316810966,"acc_z":5.231330872,"rot_x":0.784998477,"rot_y":0.314159274,"rot_z":-1.232388973}
mqtt.js:5 s1: {"acc_x":-7.39808321,"acc_y":1.37666595,"acc_z":5.499481201,"rot_x":0.22702603,"rot_y":0.019451762,"rot_z":-1.048529863}
mqtt.js:5 s1: {"acc_x":-6.299144745,"acc_y":1.889025092,"acc_z":5.767632008,"rot_x":0.175332308,"rot_y":0.007993874,"rot_z":-0.68560797}
mqtt.js:5 s1: {"acc_x":-6.133944988,"acc_y":1.745373011,"acc_z":5.877765179,"rot_x":-0.725843847,"rot_y":0.063684531,"rot_z":-0.981114864}
mqtt.js:5 s1: {"acc_x":-6.811503887,"acc_y":1.201889277,"acc_z":5.849034786,"rot_x":-1.47407043,"rot_y":0.020784073,"rot_z":-0.740499258}
mqtt.js:5 s1: {"acc_x":-7.072471619,"acc_y":0.725443125,"acc_z":5.592854977,"rot_x":-1.000300169,"rot_y":0.133764163,"rot_z":-0.477767229}
mqtt.js:5 s1: {"acc_x":-7.259219646,"acc_y":-0.40940848,"acc_z":5.767632008,"rot_x":-0.161742732,"rot_y":0.035972435,"rot_z":-0.285381317}
mqtt.js:5 s1: {"acc_x":-6.672640324,"acc_y":-0.770932972,"acc_z":5.789179802,"rot_x":-0.237950996,"rot_y":0.065016843,"rot_z":-0.199846849}
mqtt.js:5 s1: {"acc_x":-7.465120792,"acc_y":0.442927301,"acc_z":5.664681435,"rot_x":-0.156679943,"rot_y":0.044765696,"rot_z":-0.18599081}
mqtt.js:5 s1: {"acc_x":-6.708553314,"acc_y":0.299275219,"acc_z":5.837063789,"rot_x":0.108716697,"rot_y":0.023448698,"rot_z":-0.003464012}
mqtt.js:5 s1: {"acc_x":-6.624756336,"acc_y":-0.222660765,"acc_z":5.837063789,"rot_x":0.005862175,"rot_y":0.018385911,"rot_z":0.009326187}
mqtt.js:5 s1: {"acc_x":-6.603208065,"acc_y":-0.502782345,"acc_z":5.844246387,"rot_x":-0.161476254,"rot_y":-0.076208271,"rot_z":0.123905048}
mqtt.js:5 s1: {"acc_x":-6.148310184,"acc_y":0.090979666,"acc_z":5.899312973,"rot_x":-0.195849925,"rot_y":-0.167871356,"rot_z":0.200113311}
mqtt.js:5 s1: {"acc_x":-6.610390663,"acc_y":-0.459686726,"acc_z":6.054935932,"rot_x":-0.079139359,"rot_y":-0.319222063,"rot_z":0.191852987}
mqtt.js:5 s1: {"acc_x":-6.256049156,"acc_y":0.452504128,"acc_z":6.272808552,"rot_x":-0.054091886,"rot_y":-0.364254236,"rot_z":0.545981586}
mqtt.js:5 s1: {"acc_x":-6.663063526,"acc_y":0.785298169,"acc_z":6.330269337,"rot_x":-0.131898925,"rot_y":-0.254738122,"rot_z":0.334410399}
mqtt.js:5 s1: {"acc_x":-5.786785603,"acc_y":0.385466486,"acc_z":6.452373505,"rot_x":-0.068480857,"rot_y":-0.251540571,"rot_z":0.065016843}
mqtt.js:5 s1: {"acc_x":-5.176264286,"acc_y":0.44532153,"acc_z":6.212953568,"rot_x":-0.069546707,"rot_y":-0.45911485,"rot_z":-0.025313934}
mqtt.js:5 s1: {"acc_x":-1.079784989,"acc_y":-0.660799682,"acc_z":8.128314972,"rot_x":0.074875958,"rot_y":-0.714385927,"rot_z":-0.31895557}
mqtt.js:5 s1: {"acc_x":0.143652096,"acc_y":-0.330399841,"acc_z":7.762001991,"rot_x":-0.094061248,"rot_y":-0.684808552,"rot_z":-0.580355287}
mqtt.js:5 s1: {"acc_x":0.464475125,"acc_y":0.158017308,"acc_z":8.030152321,"rot_x":-0.107384384,"rot_y":-0.607534468,"rot_z":-0.045565084}
mqtt.js:5 s1: {"acc_x":0.629675031,"acc_y":-0.174776718,"acc_z":8.73404789,"rot_x":-0.013323124,"rot_y":-0.856676877,"rot_z":0.119908117}
mqtt.js:5 s1: {"acc_x":2.011129379,"acc_y":-0.533906996,"acc_z":9.493009567,"rot_x":-0.015721286,"rot_y":-0.824967802,"rot_z":-0.022382848}
mqtt.js:5 s1: {"acc_x":1.675941229,"acc_y":-0.751779318,"acc_z":10.36928749,"rot_x":-0.081004597,"rot_y":-1.012557387,"rot_z":0.017053599}
mqtt.js:5 s1: {"acc_x":0.995987892,"acc_y":-0.569819987,"acc_z":11.15219116,"rot_x":-0.079139359,"rot_y":-1.126869917,"rot_z":-0.033041347}
mqtt.js:5 s1: {"acc_x":1.508347034,"acc_y":-0.050278235,"acc_z":12.28704357,"rot_x":-0.071145482,"rot_y":-1.264897346,"rot_z":-0.038903523}
mqtt.js:5 s1: {"acc_x":1.053448796,"acc_y":-0.232237563,"acc_z":12.98136139,"rot_x":-0.055424199,"rot_y":-1.441029072,"rot_z":-0.074076563}
mqtt.js:5 s1: {"acc_x":1.029506683,"acc_y":0.059855044,"acc_z":13.9055233,"rot_x":-0.048762634,"rot_y":-1.457016945,"rot_z":-0.083402753}
mqtt.js:5 s1: {"acc_x":0.430956304,"acc_y":-0.229843363,"acc_z":14.32929707,"rot_x":-0.016520673,"rot_y":-1.537755013,"rot_z":-0.163607955}
mqtt.js:5 s1: {"acc_x":0.428562105,"acc_y":-0.141257897,"acc_z":14.82010841,"rot_x":-0.05489127,"rot_y":-1.471672297,"rot_z":-0.172667682}
mqtt.js:5 s1: {"acc_x":-0.112527482,"acc_y":-0.265756398,"acc_z":14.70518684,"rot_x":-0.075142421,"rot_y":-1.481264949,"rot_z":-0.084202148}
mqtt.js:5 s1: {"acc_x":0.624886632,"acc_y":-0.033518825,"acc_z":14.81532001,"rot_x":-0.048229709,"rot_y":-1.399993777,"rot_z":-0.236618683}
mqtt.js:5 s1: {"acc_x":0.150834709,"acc_y":0.057460841,"acc_z":14.41069984,"rot_x":0.019185297,"rot_y":-1.45541811,"rot_z":-0.250741184}
mqtt.js:5 s1: {"acc_x":-0.301669419,"acc_y":0.153228909,"acc_z":13.85763931,"rot_x":0.087666154,"rot_y":-1.346434832,"rot_z":-0.211304754}
mqtt.js:5 s1: {"acc_x":-0.9648633,"acc_y":0.064643443,"acc_z":13.04361057,"rot_x":0.075142421,"rot_y":-1.245179176,"rot_z":-0.211304754}
mqtt.js:5 s1: {"acc_x":-0.447715729,"acc_y":-0.052672438,"acc_z":12.19366932,"rot_x":0.050894335,"rot_y":-1.028278708,"rot_z":-0.193451747}
mqtt.js:5 s1: {"acc_x":-0.790086567,"acc_y":0.122104287,"acc_z":11.16176796,"rot_x":0.107384384,"rot_y":-0.963794768,"rot_z":-0.493754983}
mqtt.js:5 s1: {"acc_x":-0.677559078,"acc_y":0.019153614,"acc_z":10.25436592,"rot_x":0.088732004,"rot_y":-0.757552803,"rot_z":-0.204909652}
mqtt.js:5 s1: {"acc_x":-0.624886632,"acc_y":-0.172382519,"acc_z":9.44512558,"rot_x":0.082869835,"rot_y":-0.645905018,"rot_z":-0.098591112}
mqtt.js:5 s1: {"acc_x":-0.751779318,"acc_y":-0.191536129,"acc_z":8.614337921,"rot_x":0.050894335,"rot_y":-0.488425732,"rot_z":0.075941809}
mqtt.js:5 s1: {"acc_x":-0.215478152,"acc_y":-0.344765037,"acc_z":8.092401505,"rot_x":0.00106585,"rot_y":-0.331212848,"rot_z":0.104453288}
mqtt.js:5 s1: {"acc_x":-0.521935999,"acc_y":-0.40940848,"acc_z":7.527369976,"rot_x":-0.043966308,"rot_y":-0.254205197,"rot_z":0.050894335}
mqtt.js:5 s1: {"acc_x":-0.66798228,"acc_y":-0.253785372,"acc_z":7.266402245,"rot_x":-0.062352221,"rot_y":-0.098324656,"rot_z":0.039169986}
mqtt.js:5 s1: {"acc_x":-0.699106872,"acc_y":-0.248996973,"acc_z":7.266402245,"rot_x":-0.063684531,"rot_y":0.040502299,"rot_z":0.08233691}
mqtt.js:5 s1: {"acc_x":-0.725443125,"acc_y":-0.270544797,"acc_z":7.364564419,"rot_x":-0.03011026,"rot_y":0.161476254,"rot_z":0.128434911}
mqtt.js:5 s1: {"acc_x":-0.48362875,"acc_y":-0.215478152,"acc_z":7.809885979,"rot_x":-0.05142726,"rot_y":0.337874413,"rot_z":0.359990805}
mqtt.js:5 s1: {"acc_x":-0.392649084,"acc_y":-0.124498487,"acc_z":8.353369713,"rot_x":-0.057822358,"rot_y":0.459647775,"rot_z":0.330147028}
mqtt.js:5 s1: {"acc_x":-0.533906996,"acc_y":-0.01436521,"acc_z":9.006986618,"rot_x":-0.031975497,"rot_y":0.585151613,"rot_z":0.30856356}
mqtt.js:5 s1: {"acc_x":-0.541089594,"acc_y":-0.047884032,"acc_z":9.904812813,"rot_x":-0.002398162,"rot_y":0.731972396,"rot_z":0.292309314}
mqtt.js:5 s1: {"acc_x":-1.163581967,"acc_y":0.023942016,"acc_z":10.75714779,"rot_x":0.053825419,"rot_y":0.865470171,"rot_z":0.24674426}
mqtt.js:5 s1: {"acc_x":-0.869095206,"acc_y":-0.033518825,"acc_z":11.79383755,"rot_x":-0.003996937,"rot_y":1.111148596,"rot_z":0.189454809}
mqtt.js:5 s1: {"acc_x":-1.108515382,"acc_y":0.069431849,"acc_z":12.73475838,"rot_x":-0.03757121,"rot_y":1.295007586,"rot_z":0.139892802}
mqtt.js:5 s1: {"acc_x":-0.797269166,"acc_y":0.210689753,"acc_z":13.77384281,"rot_x":0.042633995,"rot_y":1.440762639,"rot_z":0.10285452}
mqtt.js:5 s1: {"acc_x":-0.78050977,"acc_y":0.009576807,"acc_z":14.53519821,"rot_x":0.021050537,"rot_y":1.512441039,"rot_z":0.08233691}
mqtt.js:5 s1: {"acc_x":-0.222660765,"acc_y":-0.138863698,"acc_z":15.00925064,"rot_x":-0.02051761,"rot_y":1.637678385,"rot_z":0.032774884}
mqtt.js:5 s1: {"acc_x":-0.402225882,"acc_y":-0.318428814,"acc_z":15.31091976,"rot_x":-0.02904441,"rot_y":1.687773347,"rot_z":-0.01385605}
mqtt.js:5 s1: {"acc_x":0.536301196,"acc_y":-0.354341865,"acc_z":15.32767963,"rot_x":-0.056756508,"rot_y":1.705093384,"rot_z":-0.005062787}
mqtt.js:5 s1: {"acc_x":1.067813993,"acc_y":-0.299275219,"acc_z":14.89432907,"rot_x":0.012523737,"rot_y":1.593445539,"rot_z":0.117776416}
mqtt.js:5 s1: {"acc_x":0.878672004,"acc_y":-0.289698392,"acc_z":14.1808567,"rot_x":0.146554366,"rot_y":1.54681468,"rot_z":0.130300149}
mqtt.js:5 s1: {"acc_x":1.142034173,"acc_y":-0.208295554,"acc_z":13.48414421,"rot_x":0.217966303,"rot_y":1.481797814,"rot_z":0.087399691}
mqtt.js:5 s1: {"acc_x":1.345541358,"acc_y":-0.227449164,"acc_z":12.5504055,"rot_x":0.068480857,"rot_y":1.446624875,"rot_z":0.048229709}
mqtt.js:5 s1: {"acc_x":1.249773264,"acc_y":-0.232237563,"acc_z":11.47301483,"rot_x":0.067415006,"rot_y":1.329914212,"rot_z":0.128967836}
mqtt.js:5 s1: {"acc_x":1.41018486,"acc_y":-0.284909993,"acc_z":10.61349583,"rot_x":0.039436448,"rot_y":1.151384354,"rot_z":0.116444103}
mqtt.js:5 s1: {"acc_x":1.527500629,"acc_y":-0.325611442,"acc_z":9.607931137,"rot_x":-0.033041347,"rot_y":0.932352185,"rot_z":0.076741189}
mqtt.js:5 s1: {"acc_x":1.446097851,"acc_y":-0.045489833,"acc_z":8.870517731,"rot_x":-0.019185297,"rot_y":0.663491547,"rot_z":0.103120975}
mqtt.js:5 s1: {"acc_x":1.314416766,"acc_y":0.124498487,"acc_z":8.226476669,"rot_x":0.026379786,"rot_y":0.387702912,"rot_z":0.158278719}
mqtt.js:5 s1: {"acc_x":1.103726983,"acc_y":0.095768064,"acc_z":7.855375767,"rot_x":0.050361406,"rot_y":0.125237361,"rot_z":0.157212853}
mqtt.js:5 s1: {"acc_x":0.873883605,"acc_y":0.023942016,"acc_z":7.618350029,"rot_x":0.050094947,"rot_y":-0.09033078,"rot_z":0.107117914}
mqtt.js:5 s1: {"acc_x":0.936132848,"acc_y":-0.153228909,"acc_z":7.606379032,"rot_x":0.063950993,"rot_y":-0.253938764,"rot_z":0.082603365}
mqtt.js:5 s1: {"acc_x":1.101332784,"acc_y":-0.033518825,"acc_z":7.788338184,"rot_x":-0.057822358,"rot_y":-0.392499238,"rot_z":0.018652374}
mqtt.js:5 s1: {"acc_x":1.319205165,"acc_y":-0.158017308,"acc_z":8.109161377,"rot_x":-0.04769678,"rot_y":-0.565699816,"rot_z":-0.08313629}
mqtt.js:5 s1: {"acc_x":1.443703651,"acc_y":-0.208295554,"acc_z":8.664615631,"rot_x":-0.072477795,"rot_y":-0.7074579,"rot_z":-0.035173047}
mqtt.js:5 s1: {"acc_x":1.460463047,"acc_y":-0.299275219,"acc_z":9.325415611,"rot_x":-0.064750381,"rot_y":-0.843087316,"rot_z":-0.023715161}
mqtt.js:5 s1: {"acc_x":1.458068848,"acc_y":0.057460841,"acc_z":10.20408726,"rot_x":-0.163607955,"rot_y":-0.966992319,"rot_z":-0.083402753}
mqtt.js:5 s1: {"acc_x":1.78368032,"acc_y":0.287304193,"acc_z":11.018116,"rot_x":-0.10178867,"rot_y":-1.14578867,"rot_z":-0.081004597}
mqtt.js:5 s1: {"acc_x":1.501164436,"acc_y":0.210689753,"acc_z":11.93988419,"rot_x":-0.138027564,"rot_y":-1.219065785,"rot_z":-0.042633995}
mqtt.js:5 s1: {"acc_x":1.170764685,"acc_y":0.093373865,"acc_z":12.76348972,"rot_x":-0.177197546,"rot_y":-1.248376727,"rot_z":-0.114845328}
mqtt.js:5 s1: {"acc_x":1.307234168,"acc_y":0.146046311,"acc_z":13.56315231,"rot_x":-0.186790213,"rot_y":-1.29234302,"rot_z":-0.177464008}
mqtt.js:5 s1: {"acc_x":1.00556469,"acc_y":0.10295067,"acc_z":14.25028896,"rot_x":-0.241681471,"rot_y":-1.325117946,"rot_z":-0.209705979}
mqtt.js:5 s1: {"acc_x":0.718260527,"acc_y":0.311246216,"acc_z":14.63575459,"rot_x":-0.226759583,"rot_y":-1.393598795,"rot_z":-0.311228186}
mqtt.js:5 s1: {"acc_x":0.830788016,"acc_y":0.04070143,"acc_z":14.8727808,"rot_x":-0.149485439,"rot_y":-1.462612629,"rot_z":-0.305099547}
mqtt.js:5 s1: {"acc_x":0.78050977,"acc_y":0.090979666,"acc_z":14.86081028,"rot_x":-0.088998467,"rot_y":-1.495121002,"rot_z":-0.300036758}
mqtt.js:5 s1: {"acc_x":0.629675031,"acc_y":-0.062249243,"acc_z":14.59505367,"rot_x":-0.181460962,"rot_y":-1.458881974,"rot_z":-0.306165397}
mqtt.js:5 s1: {"acc_x":0.119710088,"acc_y":-0.04070143,"acc_z":14.16409683,"rot_x":-0.074076563,"rot_y":-1.411718249,"rot_z":-0.292575806}
mqtt.js:5 s1: {"acc_x":-0.588973641,"acc_y":-0.047884032,"acc_z":13.36443424,"rot_x":-0.030909648,"rot_y":-1.295540452,"rot_z":-0.135629401}
mqtt.js:5 s1: {"acc_x":-0.387860686,"acc_y":-0.229843363,"acc_z":12.48336792,"rot_x":-0.002398162,"rot_y":-1.145522237,"rot_z":-0.228891268}
mqtt.js:5 s1: {"acc_x":-0.301669419,"acc_y":-0.095768064,"acc_z":11.62624359,"rot_x":0.064217456,"rot_y":-1.033074975,"rot_z":-0.231822357}
mqtt.js:5 s1: {"acc_x":-0.246602774,"acc_y":-0.162805721,"acc_z":10.66377449,"rot_x":0.110848397,"rot_y":-0.924358368,"rot_z":-0.18599081}
mqtt.js:5 s1: {"acc_x":-0.490811348,"acc_y":-0.447715729,"acc_z":9.708487511,"rot_x":0.061019909,"rot_y":-0.742630899,"rot_z":-0.081004597}
mqtt.js:5 s1: {"acc_x":-0.471657723,"acc_y":-0.29688102,"acc_z":8.901641846,"rot_x":0.056490045,"rot_y":-0.5662328,"rot_z":-0.167871356}
mqtt.js:5 s1: {"acc_x":-0.447715729,"acc_y":-0.454898328,"acc_z":8.204929352,"rot_x":0.016254211,"rot_y":-0.412217438,"rot_z":-0.036238898}
mqtt.js:5 s1: {"acc_x":-0.399831682,"acc_y":-0.51954174,"acc_z":7.582436562,"rot_x":0.0021317,"rot_y":-0.257935673,"rot_z":-0.08313629}
mqtt.js:5 s1: {"acc_x":-0.201112941,"acc_y":-0.399831682,"acc_z":7.326257229,"rot_x":-0.000532925,"rot_y":-0.10285452,"rot_z":-0.059421133}
mqtt.js:5 s1: {"acc_x":-0.16759412,"acc_y":-0.354341865,"acc_z":7.189787865,"rot_x":-0.013589587,"rot_y":0.025580399,"rot_z":0.08020521}
mqtt.js:5 s1: {"acc_x":-0.512359142,"acc_y":-0.730231524,"acc_z":7.266402245,"rot_x":-0.017852986,"rot_y":0.173999995,"rot_z":0.159344569}
mqtt.js:5 s1: {"acc_x":-0.553060591,"acc_y":-0.342370838,"acc_z":7.51061058,"rot_x":-0.062352221,"rot_y":0.320554376,"rot_z":0.174266458}
mqtt.js:5 s1: {"acc_x":-0.675164878,"acc_y":-0.280121595,"acc_z":8.030152321,"rot_x":-0.069013782,"rot_y":0.459381312,"rot_z":0.179595709}
mqtt.js:5 s1: {"acc_x":-0.689530075,"acc_y":-0.282515794,"acc_z":8.724471092,"rot_x":-0.08020521,"rot_y":0.613396645,"rot_z":0.234486982}
mqtt.js:5 s1: {"acc_x":-0.526724398,"acc_y":-0.179565132,"acc_z":9.572018623,"rot_x":-0.04769678,"rot_y":0.773274124,"rot_z":0.306165397}
mqtt.js:5 s1: {"acc_x":-0.919373453,"acc_y":-0.225054964,"acc_z":10.44350815,"rot_x":-0.041568145,"rot_y":0.970189929,"rot_z":0.31895557}
mqtt.js:5 s1: {"acc_x":-0.684741676,"acc_y":-0.155623108,"acc_z":11.44907284,"rot_x":-0.04769678,"rot_y":1.158312321,"rot_z":0.253139347}
mqtt.js:5 s1: {"acc_x":-0.507570744,"acc_y":-0.136469498,"acc_z":12.42111874,"rot_x":-0.015987748,"rot_y":1.25796926,"rot_z":0.271258801}
mqtt.js:5 s1: {"acc_x":-0.921767652,"acc_y":-0.086191259,"acc_z":13.25190639,"rot_x":0.013323124,"rot_y":1.380009174,"rot_z":0.31575802}
mqtt.js:5 s1: {"acc_x":-1.273715258,"acc_y":0.119710088,"acc_z":14.17367363,"rot_x":0.02797856,"rot_y":1.501249552,"rot_z":0.267794788}
mqtt.js:5 s1: {"acc_x":-0.969651699,"acc_y":-0.026336219,"acc_z":14.83926201,"rot_x":0.07274425,"rot_y":1.561736584,"rot_z":0.23528637}
mqtt.js:5 s1: {"acc_x":-0.318428814,"acc_y":-0.059855044,"acc_z":15.24388218,"rot_x":0.10285452,"rot_y":1.598774791,"rot_z":0.200379789}
mqtt.js:5 s1: {"acc_x":0.270544797,"acc_y":-0.069431849,"acc_z":15.36598682,"rot_x":0.136428788,"rot_y":1.585185289,"rot_z":0.163341507}
mqtt.js:5 s1: {"acc_x":0.699106872,"acc_y":-0.141257897,"acc_z":15.12177753,"rot_x":0.168404296,"rot_y":1.611831546,"rot_z":0.089531392}
mqtt.js:5 s1: {"acc_x":1.400607944,"acc_y":-0.258573771,"acc_z":14.65969658,"rot_x":0.116977029,"rot_y":1.562802434,"rot_z":0.100989282}
mqtt.js:5 s1: {"acc_x":1.237802267,"acc_y":-0.29688102,"acc_z":13.8265152,"rot_x":0.154015318,"rot_y":1.469007611,"rot_z":0.154548228}
mqtt.js:5 s1: {"acc_x":1.15400517,"acc_y":-0.215478152,"acc_z":12.98136139,"rot_x":0.198248088,"rot_y":1.377344608,"rot_z":0.142024502}
mqtt.js:5 s1: {"acc_x":1.37427175,"acc_y":-0.196324542,"acc_z":12.01649857,"rot_x":0.209173039,"rot_y":1.211604834,"rot_z":0.123638593}
mqtt.js:5 s1: {"acc_x":1.400607944,"acc_y":-0.256179571,"acc_z":11.06839466,"rot_x":0.134030625,"rot_y":1.069047451,"rot_z":0.101522207}
mqtt.js:5 s1: {"acc_x":1.254561663,"acc_y":-0.124498487,"acc_z":10.08198357,"rot_x":0.136162326,"rot_y":0.88412255,"rot_z":0.025846859}
mqtt.js:5 s1: {"acc_x":1.144428372,"acc_y":-0.150834709,"acc_z":9.323021889,"rot_x":0.123638593,"rot_y":0.696266472,"rot_z":0.066882081}
mqtt.js:5 s1: {"acc_x":1.388636947,"acc_y":-0.019153614,"acc_z":8.623914719,"rot_x":0.070079632,"rot_y":0.508410394,"rot_z":0.03996937}
mqtt.js:5 s1: {"acc_x":1.417367458,"acc_y":-0.119710088,"acc_z":8.063671112,"rot_x":0.030376723,"rot_y":0.301901996,"rot_z":0.044499233}
mqtt.js:5 s1: {"acc_x":1.383848548,"acc_y":-0.20590134,"acc_z":7.735665798,"rot_x":0.030909648,"rot_y":0.099124044,"rot_z":0.038370594}
mqtt.js:5 s1: {"acc_x":1.364694953,"acc_y":-0.138863698,"acc_z":7.522581577,"rot_x":-0.012523737,"rot_y":-0.067947932,"rot_z":0.019451762}
mqtt.js:5 s1: {"acc_x":1.139639974,"acc_y":-0.316034615,"acc_z":7.54891777,"rot_x":-0.03650536,"rot_y":-0.221963242,"rot_z":-0.008793262}
mqtt.js:5 s1: {"acc_x":1.45088625,"acc_y":-0.311246216,"acc_z":7.84340477,"rot_x":-0.054091886,"rot_y":-0.362122506,"rot_z":-0.007194487}
mqtt.js:5 s1: {"acc_x":1.326387763,"acc_y":-0.361524463,"acc_z":8.271966934,"rot_x":-0.110049009,"rot_y":-0.45911485,"rot_z":-0.041301683}
mqtt.js:5 s1: {"acc_x":1.326387763,"acc_y":-0.20590134,"acc_z":8.882488251,"rot_x":-0.15428178,"rot_y":-0.576091886,"rot_z":-0.05489127}
mqtt.js:5 s1: {"acc_x":1.419761658,"acc_y":-0.193930343,"acc_z":9.672574997,"rot_x":-0.136695251,"rot_y":-0.709056675,"rot_z":-0.068214394}
mqtt.js:5 s1: {"acc_x":1.369483352,"acc_y":-0.009576807,"acc_z":10.57518864,"rot_x":-0.119908117,"rot_y":-0.854278684,"rot_z":-0.139093414}
mqtt.js:5 s1: {"acc_x":1.429338455,"acc_y":-0.227449164,"acc_z":11.53526402,"rot_x":-0.185191423,"rot_y":-0.988309324,"rot_z":-0.191852987}
mqtt.js:5 s1: {"acc_x":1.52510643,"acc_y":-0.1316811,"acc_z":12.49294472,"rot_x":-0.208906576,"rot_y":-1.154581904,"rot_z":-0.208373666}
mqtt.js:5 s1: {"acc_x":1.242590666,"acc_y":-0.004788403,"acc_z":13.31894398,"rot_x":-0.223295555,"rot_y":-1.289944768,"rot_z":-0.187856048}
mqtt.js:5 s1: {"acc_x":0.751779318,"acc_y":-0.093373865,"acc_z":14.03481007,"rot_x":-0.182793275,"rot_y":-1.388535976,"rot_z":-0.213702917}
mqtt.js:5 s1: {"acc_x":0.696712673,"acc_y":-0.02873042,"acc_z":14.60702419,"rot_x":-0.192119434,"rot_y":-1.434900403,"rot_z":-0.305099547}
mqtt.js:5 s1: {"acc_x":0.380678058,"acc_y":-0.011971008,"acc_z":14.93263626,"rot_x":-0.195583463,"rot_y":-1.461280227,"rot_z":-0.267794788}
mqtt.js:5 s1: {"acc_x":-0.033518825,"acc_y":-0.146046311,"acc_z":14.99488544,"rot_x":-0.17559877,"rot_y":-1.477534413,"rot_z":-0.299503833}
mqtt.js:5 s1: {"acc_x":-0.253785372,"acc_y":-0.119710088,"acc_z":14.74588871,"rot_x":-0.110049009,"rot_y":-1.470073462,"rot_z":-0.315491587}
mqtt.js:5 s1: {"acc_x":-0.555454791,"acc_y":0.050278235,"acc_z":14.28380775,"rot_x":-0.112180702,"rot_y":-1.414649367,"rot_z":-0.309096456}
mqtt.js:5 s1: {"acc_x":-0.33279404,"acc_y":-0.155623108,"acc_z":13.67807388,"rot_x":-0.055424199,"rot_y":-1.320055127,"rot_z":-0.292042881}
mqtt.js:5 s1: {"acc_x":-0.474051923,"acc_y":-0.213083953,"acc_z":12.88319969,"rot_x":0.02158346,"rot_y":-1.21027267,"rot_z":-0.282183766}
mqtt.js:5 s1: {"acc_x":-0.289698392,"acc_y":-0.301669419,"acc_z":12.00213337,"rot_x":0.049295556,"rot_y":-1.07730782,"rot_z":-0.251007646}
mqtt.js:5 s1: {"acc_x":-0.287304193,"acc_y":-0.248996973,"acc_z":11.08754826,"rot_x":0.029843798,"rot_y":-0.951271057,"rot_z":-0.241681471}
mqtt.js:5 s1: {"acc_x":-0.459686726,"acc_y":-0.237025961,"acc_z":10.16578007,"rot_x":0.060486984,"rot_y":-0.843886673,"rot_z":-0.211304754}
mqtt.js:5 s1: {"acc_x":-0.67037648,"acc_y":-0.275333196,"acc_z":9.198522568,"rot_x":0.07194487,"rot_y":-0.703460932,"rot_z":-0.181727409}
mqtt.js:5 s1: {"acc_x":-0.550666392,"acc_y":-0.208295554,"acc_z":8.449137688,"rot_x":0.057289433,"rot_y":-0.535323083,"rot_z":-0.163607955}
mqtt.js:5 s1: {"acc_x":-0.732625723,"acc_y":-0.18674773,"acc_z":7.800309181,"rot_x":0.044765696,"rot_y":-0.369316995,"rot_z":-0.100189894}
